"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","424467.886","4586485.092","424376.011","4586284.12","2.094974","41.424559","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","431778.653","4587754.363","431686.711","4587553.377","2.182312","41.436646","BUS -11-132--",8,45,"Nou Barris","Porta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","427830.327","4582205.282","427738.419","4582004.349","2.13572","41.386323","NITBUS -N0--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","429177.264","4584831.842","429085.345","4584630.884","2.15152","41.410099","BUS -116--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns","428997.88","4585151.311","428905.962","4584950.35","2.149337","41.41296","BUS -116--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns","429609.093","4586186.959","429517.17","4585985.988","2.156528","41.422342","BUS -119-86--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns","430543.013","4581403.339","430451.08","4581202.412","2.168253","41.379339","BUS -120--",1,1,"Ciutat Vella","el Raval",,
"K014","Transports i serveis relacionats","Autobusos diürns","430708.003","4581215.672","430616.069","4581014.747","2.170247","41.377663","BUS -120--",1,1,"Ciutat Vella","el Raval",,
"K014","Transports i serveis relacionats","Autobusos diürns","430732.595","4581256.072","430640.66","4581055.147","2.170537","41.378029","BUS -120--",1,1,"Ciutat Vella","el Raval",,
"K014","Transports i serveis relacionats","Autobusos diürns","424589.386","4585744.465","424497.509","4585543.5","2.09652","41.417901","BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","424570.894","4586661.738","424479.018","4586460.764","2.096184","41.42616","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","426860.724","4582663.119","426768.825","4582462.182","2.124069","41.390359","BUS -6--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns","427972.079","4579529.769","427880.169","4579328.86","2.137733","41.362238","BUS -109-125-V3-H16--",3,13,"Sants-Montjuïc","la Marina de Port",,
"K014","Transports i serveis relacionats","Autobusos diürns","433702.007","4583341.142","433610.046","4583140.196","2.205816","41.397059","BUS -H16-V27--",10,68,"Sant Martí","el Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430979.004","4582451.063","430887.067","4582250.127","2.173347","41.388813","NITBUS -N4--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428446.992","4578585.826","428355.078","4578384.926","2.143522","41.353779","NITBUS -N1--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","431392.389","4586719.427","431300.45","4586518.451","2.177806","41.427292","BUS -V27--",9,62,"Sant Andreu","el Congrés i els Indians",,
"K014","Transports i serveis relacionats","Autobusos diürns","429515.009","4587191.308","429423.087","4586990.328","2.155285","41.431379","BUS -45-102--",7,43,"Horta-Guinardó","Horta",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430451.478","4580911.556","430359.546","4580710.634","2.167215","41.374902","NITBUS -N0-N6--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","429332.482","4582845.365","429240.561","4582644.425","2.153609","41.392221","BUS -54-66-67--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","427883.996","4584849.32","427792.089","4584648.362","2.136046","41.410141","BUS -75-123-H4-V13--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","424386.88","4586709.268","424295.005","4586508.294","2.093976","41.426571","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","426929.765","4582962.09","426837.866","4582761.15","2.124858","41.393058","BUS -66--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","423833.323","4586353.111","423741.453","4586152.14","2.087397","41.423311","BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","428297.144","4581636.609","428205.232","4581435.681","2.14137","41.381243","BUS -78-115-V7--",3,18,"Sants-Montjuïc","Sants",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432500.524","4588420.793","432408.575","4588219.801","2.190877","41.442709","NITBUS -N3-N9--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","429703.14","4580062.258","429611.214","4579861.344","2.158366","41.367188","BUS -55--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","424971.257","4586892.184","424879.377","4586691.208","2.100946","41.428273","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","426868.01","4583092.571","426776.111","4582891.63","2.124104","41.394227","BUS -34-V3--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","426691.007","4582970.23","426599.11","4582769.29","2.122002","41.393109","BUS -34-V3--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","433348.604","4588965.238","433256.647","4588764.24","2.200968","41.447684","BUS -11-42-60--",9,58,"Sant Andreu","Baró de Viver",,
"K014","Transports i serveis relacionats","Autobusos diürns","427332.994","4585021.162","427241.092","4584820.203","2.129434","41.411639","BUS -123--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","428206.002","4585394.609","428114.092","4585193.646","2.139834","41.415081","BUS -123-124--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","427808.003","4585637.512","427716.097","4585436.547","2.135043","41.417233","BUS -124--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","429932.49","4586651.685","429840.564","4586450.71","2.160344","41.426556","BUS -19-39-102-87--",7,43,"Horta-Guinardó","Horta",,
"K014","Transports i serveis relacionats","Autobusos diürns","429599","4583948.946","429507.077","4583747.996","2.156668","41.402184","BUS -114--",6,31,"Gràcia","la Vila de Gràcia",,
"K014","Transports i serveis relacionats","Autobusos diürns","432317.002","4588022.443","432225.055","4587821.455","2.188725","41.439106","BUS -126--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","428605.16","4578813.598","428513.244","4578612.696","2.145386","41.355845","BUS -125--",3,13,"Sants-Montjuïc","la Marina de Port",,
"K014","Transports i serveis relacionats","Autobusos diürns","428024.002","4579825.561","427932.092","4579624.65","2.138319","41.364907","BUS -125--",3,13,"Sants-Montjuïc","la Marina de Port",,
"K015","Transports i serveis relacionats","Autobusos nocturns","434001.095","4585920.017","433909.132","4585719.047","2.209111","41.420311","NITBUS -N2--",10,73,"Sant Martí","la Verneda i la Pau",,
"K014","Transports i serveis relacionats","Autobusos diürns","431342.997","4590303.661","431251.059","4590102.652","2.176807","41.459569","BUS -51--",8,55,"Nou Barris","Ciutat Meridiana",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430286.001","4582168.918","430194.071","4581967.984","2.165092","41.386212","NITBUS -N1-N2-N3-N6-N7-N8-N28--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","427676.306","4587024.614","427584.401","4586823.636","2.133301","41.429714","BUS -185--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430105.191","4588435.337","430013.264","4588234.345","2.162204","41.442635","NITBUS -N6--",8,49,"Nou Barris","Canyelles",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430942.004","4590412.522","430850.07","4590211.512","2.171994","41.460515","NITBUS -N3--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns","431713.769","4585372.729","431621.826","4585171.765","2.181805","41.41519","BUS -117-192-H8--",10,64,"Sant Martí","el Camp de l'Arpa del Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","427819.896","4586696.603","427727.99","4586495.628","2.135059","41.426773","BUS -185--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K014","Transports i serveis relacionats","Autobusos diürns","430190.004","4588203.685","430098.076","4588002.695","2.163246","41.440556","BUS -27--",8,49,"Nou Barris","Canyelles",,
"K014","Transports i serveis relacionats","Autobusos diürns","431021.865","4585376.172","430929.929","4585175.208","2.173526","41.415162","BUS -192--",7,35,"Horta-Guinardó","el Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","431885.966","4583627.28","431794.021","4583426.332","2.184061","41.399484","BUS -62--",2,5,"Eixample","el Fort Pienc",,
"K016","Transports i serveis relacionats","Autobus a l'aeroport","430193.645","4582158.911","430101.716","4581957.977","2.163988","41.386114","AEROBUS -A1-A2--",2,10,"Eixample","Sant Antoni",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429120.055","4582746.997","429028.136","4582546.058","2.15108","41.391317","NITBUS -N7--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431231.85","4586623.932","431139.912","4586422.957","2.175896","41.426418","NITBUS -N1-N6--",8,44,"Nou Barris","Vilapicina i la Torre Llobeta",,
"K014","Transports i serveis relacionats","Autobusos diürns","430784.799","4582202.358","430692.864","4582001.424","2.171053","41.386556","BUS -41-55-H16-V15--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K014","Transports i serveis relacionats","Autobusos diürns","430745.989","4582336.042","430654.054","4582135.107","2.170573","41.387757","BUS -24--",2,7,"Eixample","la Dreta de l'Eixample",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429468.221","4583736.719","429376.299","4583535.771","2.155129","41.400261","NITBUS -N4--",6,31,"Gràcia","la Vila de Gràcia",,
"K015","Transports i serveis relacionats","Autobusos nocturns","434689.209","4585112.838","434597.239","4584911.876","2.217432","41.413097","NITBUS -N6--",10,70,"Sant Martí","el Besòs i el Maresme",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430151.003","4582985.07","430059.074","4582784.129","2.163383","41.393551","NITBUS -N4-N5--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","430903.989","4585132.487","430812.054","4584931.526","2.172143","41.412957","BUS -192-191--",7,35,"Horta-Guinardó","el Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","427459.919","4585755.563","427368.016","4585554.597","2.130864","41.418265","BUS -124--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","429520.009","4585050.14","429428.087","4584849.18","2.155595","41.412095","BUS -116--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns","429050.083","4579260.07","428958.163","4579059.164","2.150652","41.359905","BUS -13--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","432268.876","4583268.423","432176.928","4583067.479","2.188682","41.396285","BUS -6--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","428071.379","4580210.254","427979.469","4580009.339","2.138839","41.368376","BUS -91-115-V5--",3,16,"Sants-Montjuïc","la Bordeta",,
"K014","Transports i serveis relacionats","Autobusos diürns","428920.148","4585507.627","428828.231","4585306.663","2.148365","41.416163","BUS -129-87--",6,29,"Gràcia","el Coll",,
"K014","Transports i serveis relacionats","Autobusos diürns","428662.018","4585235.539","428570.104","4585034.577","2.145308","41.413689","BUS -129--",6,29,"Gràcia","el Coll",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428636.002","4587123.992","428544.088","4586923.013","2.144774","41.430695","NITBUS -N4--",7,40,"Horta-Guinardó","Montbau",,
"K014","Transports i serveis relacionats","Autobusos diürns","428250.526","4587093.842","428158.616","4586892.863","2.140165","41.430389","BUS -V21--",7,40,"Horta-Guinardó","Montbau",,
"K014","Transports i serveis relacionats","Autobusos diürns","431315.59","4583256.689","431223.651","4583055.745","2.177281","41.396098","BUS -6-7-62-H12--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns","429991.987","4587809.998","429900.061","4587609.012","2.160922","41.436993","BUS -185--",7,43,"Horta-Guinardó","Horta",,
"K014","Transports i serveis relacionats","Autobusos diürns","434761.998","4584803.078","434670.027","4584602.119","2.218337","41.410313","BUS -H16--",10,69,"Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","429406.866","4579124.925","429314.943","4578924.02","2.154933","41.358719","BUS -107--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","431135.018","4589152.696","431043.082","4588951.697","2.174449","41.449185","BUS -127--",8,50,"Nou Barris","les Roquetes",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430636.726","4582241.684","430544.792","4582040.75","2.169278","41.386898","NITBUS -N1-N12-N15--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","430948.218","4581671.531","430856.281","4581470.602","2.173068","41.38179","BUS -59-V13--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430097.092","4585282.126","430005.164","4585081.164","2.162472","41.414235","NITBUS -N0-N6--",7,34,"Horta-Guinardó","Can Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","429900.595","4587451.665","429808.67","4587250.683","2.15987","41.433758","BUS -185--",7,43,"Horta-Guinardó","Horta",,
"K014","Transports i serveis relacionats","Autobusos diürns","431823.326","4591086.746","431731.384","4590885.729","2.18247","41.466663","BUS -83--",8,56,"Nou Barris","Vallbona",,
"K014","Transports i serveis relacionats","Autobusos diürns","431363.499","4590316.503","431271.561","4590115.494","2.177051","41.459687","BUS -83--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns","432160.823","4589658.286","432068.878","4589457.282","2.186672","41.453826","BUS -80-81--",8,53,"Nou Barris","la Trinitat Nova",,
"K014","Transports i serveis relacionats","Autobusos diürns","431755.5","4589732.504","431663.558","4589531.5","2.181811","41.45446","BUS -80-81--",8,54,"Nou Barris","Torre Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","425866.992","4583947.711","425775.103","4583746.762","2.112027","41.401837","BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","432222.27","4588315.004","432130.324","4588114.013","2.187558","41.441733","BUS -62-96-B19-H4--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","432678.002","4587029.68","432586.051","4586828.701","2.193156","41.430195","BUS -11-34-126-H8-V31--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","431477.013","4590757.614","431385.074","4590556.6","2.17836","41.463669","BUS -104--",8,55,"Nou Barris","Ciutat Meridiana",,
"K014","Transports i serveis relacionats","Autobusos diürns","427995.99","4584774.923","427904.082","4584573.966","2.137395","41.409481","BUS -131-V15--",5,27,"Sarrià-Sant Gervasi","el Putxet i el Farró",,
"K014","Transports i serveis relacionats","Autobusos diürns","427261.26","4581389.602","427169.357","4581188.676","2.129012","41.378925","BUS -70--",3,17,"Sants-Montjuïc","Sants - Badal",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428335.398","4586201.007","428243.487","4586000.037","2.141286","41.422356","NITBUS -N4--",7,38,"Horta-Guinardó","la Teixonera",,
"K014","Transports i serveis relacionats","Autobusos diürns","427338.367","4585443.599","427246.465","4585242.636","2.129447","41.415444","BUS -196--",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K014","Transports i serveis relacionats","Autobusos diürns","431689.989","4582190.723","431598.046","4581989.789","2.18188","41.386529","BUS -120--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns","431464.672","4581421.06","431372.731","4581220.133","2.179272","41.379578","BUS -120--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431566.156","4586036.731","431474.215","4585835.761","2.179963","41.421158","NITBUS -N1-N4--",7,35,"Horta-Guinardó","el Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","427883.999","4578369.127","427792.09","4578168.229","2.136818","41.351777","BUS -125--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","431807.785","4585464.745","431715.842","4585263.78","2.182919","41.416027","BUS -192--",10,64,"Sant Martí","el Camp de l'Arpa del Clot",,
"K014","Transports i serveis relacionats","Autobusos diürns","431512.499","4590085.503","431420.56","4589884.496","2.178862","41.457619","BUS -83--",8,54,"Nou Barris","Torre Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","431371.055","4589998.953","431279.117","4589797.947","2.177178","41.456827","BUS -83--",8,54,"Nou Barris","Torre Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","431234.5","4589833.504","431142.563","4589632.499","2.175562","41.455325","BUS -83--",8,54,"Nou Barris","Torre Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","432867.285","4587199.173","432775.332","4586998.192","2.195403","41.431738","BUS -H8-V31--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns","431390.11","4589249.283","431298.172","4589048.283","2.177492","41.450077","BUS -81--",8,50,"Nou Barris","les Roquetes",,
"K014","Transports i serveis relacionats","Autobusos diürns","433019.01","4585076.94","432927.055","4584875.979","2.197454","41.412636","BUS -V27--",10,72,"Sant Martí","Sant Martí de Provençals",,
"K014","Transports i serveis relacionats","Autobusos diürns","430012.628","4582970.772","429920.7","4582769.831","2.161729","41.39341","BUS -H10--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","433219.002","4586600.969","433127.046","4586399.993","2.199678","41.426379","BUS -136--",10,73,"Sant Martí","la Verneda i la Pau",,
"K014","Transports i serveis relacionats","Autobusos diürns","431773.994","4583732.465","431682.05","4583531.516","2.18271","41.400422","BUS -7-H12--",2,5,"Eixample","el Fort Pienc",,
"K014","Transports i serveis relacionats","Autobusos diürns","433378.998","4583022.792","433287.039","4582821.849","2.201987","41.394165","BUS -59--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","427699.997","4582018.534","427608.091","4581817.602","2.134183","41.384629","BUS -V5--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","434463.006","4584752.045","434371.038","4584551.086","2.214765","41.409829","BUS -V29--",10,69,"Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","431246.903","4585738.995","431154.965","4585538.028","2.176177","41.418449","BUS -H6--",7,35,"Horta-Guinardó","el Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","433738.008","4585213.874","433646.047","4585012.911","2.206041","41.413929","BUS -H14--",10,71,"Sant Martí","Provençals del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","433560.993","4584928.821","433469.033","4584727.861","2.203954","41.411347","BUS -H14--",10,71,"Sant Martí","Provençals del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","429411.001","4582553.905","429319.079","4582352.968","2.154582","41.389603","BUS -68--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","428888.025","4584868.191","428796.108","4584667.233","2.148056","41.410401","BUS -87--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","428860.356","4585381.082","428768.44","4585180.119","2.147664","41.415018","BUS -87--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433938.704","4585538.198","433846.741","4585337.232","2.208407","41.416867","NITBUS -N11--",10,71,"Sant Martí","Provençals del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","427431.419","4580279.148","427339.514","4580078.233","2.13118","41.368939","BUS -LH2--",3,16,"Sants-Montjuïc","la Bordeta",,
"K014","Transports i serveis relacionats","Autobusos diürns","430444.369","4582245.073","430352.437","4582044.139","2.166977","41.386912","BUS -L94-L95--",2,7,"Eixample","la Dreta de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","428329.552","4586487.413","428237.641","4586286.44","2.141182","41.424935","BUS -B19--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
"K014","Transports i serveis relacionats","Autobusos diürns","429641.019","4578245.194","429549.093","4578044.297","2.157834","41.350817","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","428553.56","4577088.048","428461.644","4576887.162","2.144972","41.340299","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","428323.77","4576614.313","428231.856","4576413.431","2.142282","41.336012","BUS -88--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","429410.685","4584748.537","429318.764","4584547.58","2.154322","41.409369","BUS -BCTE--",6,30,"Gràcia","la Salut",,
"K014","Transports i serveis relacionats","Autobusos diürns","431874.321","4582204.53","431782.376","4582003.596","2.184082","41.386669","BUS -BCTO--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns","429915.495","4580215.11","429823.568","4580014.195","2.160887","41.368583","BUS -BCTO--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","429143.578","4580176.698","429051.658","4579975.783","2.151662","41.368169","BUS -BCTO--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","428053.259","4581414.676","427961.349","4581213.75","2.13848","41.379222","BUS -BCTO--",3,18,"Sants-Montjuïc","Sants",,
"K015","Transports i serveis relacionats","Autobusos nocturns","434715.31","4585011.998","434623.34","4584811.037","2.217756","41.412191","NITBUS -N6--",10,70,"Sant Martí","el Besòs i el Maresme",,
"K014","Transports i serveis relacionats","Autobusos diürns","427451.623","4582681.753","427359.719","4582480.815","2.131134","41.39058","BUS -L79--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","432470.994","4582887.651","432379.044","4582686.71","2.191142","41.392872","BUS -B25-B20-136--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432132.556","4582830.113","432040.609","4582629.173","2.187101","41.392325","NITBUS -N11--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K015","Transports i serveis relacionats","Autobusos nocturns","432976.564","4582348.635","432884.609","4582147.699","2.197248","41.38806","NITBUS -N6-N8-N28--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","432372.991","4589459.54","432281.044","4589258.538","2.189234","41.452054","BUS -11-126-127-V31--",9,57,"Sant Andreu","la Trinitat Vella",,
"K015","Transports i serveis relacionats","Autobusos nocturns","433122.011","4583818.134","433030.055","4583617.184","2.198825","41.401307","NITBUS -N8--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","428390.001","4585463.955","428298.089","4585262.991","2.142027","41.415722","BUS -129--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","430388.896","4584923.27","430296.966","4584722.311","2.166005","41.411028","BUS -92--",7,33,"Horta-Guinardó","el Baix Guinardó",,
"K014","Transports i serveis relacionats","Autobusos diürns","428296.622","4585640.543","428204.711","4585439.578","2.140889","41.417304","BUS -129--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","431372.658","4589896.387","431280.72","4589695.381","2.177209","41.455904","BUS -83--",8,54,"Nou Barris","Torre Baró",,
"K014","Transports i serveis relacionats","Autobusos diürns","433938.704","4585538.198","433846.741","4585337.232","2.208407","41.416867","BUS -B25--",10,71,"Sant Martí","Provençals del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","433717","4584915.398","433625.039","4584714.438","2.205822","41.411239","BUS -B25-H14-V29--",10,71,"Sant Martí","Provençals del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","431557.999","4582054.627","431466.057","4581853.694","2.180316","41.385292","BUS -120--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns","425480.99","4584008.86","425389.105","4583807.911","2.107402","41.402352","BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","431425.008","4589243.091","431333.069","4589042.092","2.17791","41.450024","BUS -127--",8,50,"Nou Barris","les Roquetes",,
"K014","Transports i serveis relacionats","Autobusos diürns","433707.998","4584157.928","433616.037","4583956.975","2.205798","41.404416","BUS -V27-V31--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","433139.041","4583728.66","433047.085","4583527.711","2.199039","41.400503","BUS -6-B25-B20-136--",10,68,"Sant Martí","el Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","432937.979","4587772.364","432846.026","4587571.378","2.196185","41.436906","BUS -11-H4--",9,59,"Sant Andreu","el Bon Pastor",,
"K015","Transports i serveis relacionats","Autobusos nocturns","427428.391","4581021.315","427336.487","4580820.393","2.131055","41.375623","NITBUS -N14-N2-N28--",3,18,"Sants-Montjuïc","Sants",,
"K014","Transports i serveis relacionats","Autobusos diürns","426607.996","4586611.466","426516.101","4586410.492","2.120567","41.425896","BUS -111--",,,,,,
"K015","Transports i serveis relacionats","Autobusos nocturns","429921.002","4587007.488","429829.076","4586806.51","2.160165","41.429759","NITBUS -N4--",7,43,"Horta-Guinardó","Horta",,
"K014","Transports i serveis relacionats","Autobusos diürns","430050.003","4586016.177","429958.076","4585815.208","2.161824","41.420842","BUS -V17--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns","427855.997","4581715.417","427764.089","4581514.488","2.136085","41.381913","BUS -54-H10--",3,18,"Sants-Montjuïc","Sants",,
"K014","Transports i serveis relacionats","Autobusos diürns","429587.511","4580713.659","429495.587","4580512.739","2.156908","41.373044","BUS -121--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","424477.308","4585529.51","424385.432","4585328.547","2.095206","41.415954","BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
