"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","424480.133","4585532.718","424388.257","4585331.755","2.095239","41.415983","BUS -118--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","424592.999","4586076.494","424501.122","4585875.526","2.096522","41.420891","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","427812.994","4575108","427721.084","4574907.133","2.136358","41.322399","BUS -110--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K014","Transports i serveis relacionats","Autobusos diürns","428093.943","4586158.475","428002.034","4585957.505","2.138402","41.421951","BUS -119--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","432257.337","4582771.183","432165.389","4582570.243","2.1886","41.391805","BUS -B25-B20-H16--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns","424601.007","4586857.526","424509.13","4586656.551","2.09652","41.427926","BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",,
"K014","Transports i serveis relacionats","Autobusos diürns","431703.947","4586596.973","431612.005","4586395.998","2.181549","41.426216","BUS -191--",9,62,"Sant Andreu","el Congrés i els Indians",,
"K015","Transports i serveis relacionats","Autobusos nocturns","427808.988","4575862.486","427717.079","4575661.612","2.13622","41.329194","NITBUS -N1--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428263.005","4584194.13","428171.094","4583993.178","2.140658","41.404274","NITBUS -N0--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns","429446.988","4583205.413","429355.066","4583004.47","2.154937","41.395474","BUS -6-7-33-34-H8--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns","428629.327","4583999.247","428537.412","4583798.297","2.145063","41.402552","BUS -V15--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431124.651","4584337.962","431032.714","4584137.008","2.174874","41.40582","NITBUS -N0-N1--",2,6,"Eixample","la Sagrada Família",,
"K014","Transports i serveis relacionats","Autobusos diürns","428832.233","4587607.106","428740.318","4587406.122","2.147065","41.435064","BUS -27-60-76-B19-H4--",7,40,"Horta-Guinardó","Montbau",,
"K014","Transports i serveis relacionats","Autobusos diürns","431822","4582268.309","431730.056","4582067.374","2.18345","41.387239","BUS -39-51-H14--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",,
"K014","Transports i serveis relacionats","Autobusos diürns","429238.997","4586513.608","429147.078","4586312.634","2.152062","41.425251","BUS -19--",7,38,"Horta-Guinardó","la Teixonera",,
"K014","Transports i serveis relacionats","Autobusos diürns","429413.994","4580795.421","429322.071","4580594.5","2.154823","41.373766","BUS -55--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns","432338.943","4585235.394","432246.995","4585034.431","2.1893","41.414006","BUS -192--",9,63,"Sant Andreu","Navas",,
"K014","Transports i serveis relacionats","Autobusos diürns","428551.693","4583384.078","428459.779","4583183.134","2.144207","41.397004","BUS -68-V11--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns","428271.109","4586118.486","428179.198","4585917.516","2.140527","41.421607","BUS -19-27-60-119-V15-H4--",7,39,"Horta-Guinardó","Sant Genís dels Agudells",,
